0.001,1.263,1.263
0.002,1.251,1.251
0.003,1.2513,1.254
0.004,1.25147,1.253
0.005,1.250023,1.237
0.006,1.240921,1.159
0.007,1.229329,1.125
0.008,1.214196,1.078
0.009,1.197876,1.051
0.01,1.179589,1.015
0.011,1.16453,1.029
0.012,1.146977,0.989
0.013,1.118579,0.863
0.014,1.085821,0.791
0.015,1.053239,0.76
0.016,1.020315,0.724
0.017,0.986484,0.682
0.018,0.951935,0.641
0.019,0.923342,0.666
0.02,0.887708,0.567
0.021,0.849737,0.508
0.022,0.809563,0.448
0.023,0.954107,2.255
0.024,0.885496,0.268
0.025,0.821147,0.242
0.026,0.760932,0.219
0.027,0.698639,0.138
0.028,0.630575,0.018
0.029,0.567517,0
0.03,0.510766,0
0.031,0.459689,0
0.032,0.41372,0
0.033,0.372348,0
0.034,0.335113,0
0.035,0.303902,0.023
0.036,0.273512,0
0.037,0.246161,0
0.038,0.221545,0
0.039,0.19939,0
0.04,0.179451,0
0.041,0.161506,0
0.042,0.145355,0
0.043,0.13082,0
0.044,0.117738,0
0.045,0.105964,0
0.046,0.095368,0
0.047,0.085831,0
0.048,0.077248,0
0.049,0.069523,0
0.05,0.062571,0
0.051,0.056314,0
0.052,0.050682,0
0.053,0.045614,0
0.054,0.041053,0
0.055,0.036947,0
0.056,0.033253,0
0.057,0.029927,0
0.058,0.026935,0
0.059,0.024241,0
0.06,0.021817,0
0.061,0.202435,1.828
0.062,0.182192,0
0.063,0.163973,0
0.064,0.147575,0
0.065,0.135018,0.022
0.066,0.121516,0
0.067,0.109364,0
0.068,0.098428,0
0.069,0.088585,0
0.07,0.079727,0
0.071,0.071754,0
0.072,0.064579,0
0.073,0.058121,0
0.074,0.052309,0
0.075,0.047078,0
0.076,0.06887,0.265
0.077,0.061983,0
0.078,0.055785,0
0.079,0.050206,0
0.08,0.045186,0
0.081,0.043067,0.024
0.082,0.03876,0
0.083,0.034884,0
0.084,0.031396,0
0.085,0.028256,0
0.086,0.025431,0
0.087,0.022888,0
0.088,0.020599,0
0.089,0.018539,0
0.09,0.016685,0
0.091,0.015017,0
0.092,0.013515,0
0.093,0.012163,0
0.094,0.010947,0
0.095,0.009852,0
0.096,0.008867,0
0.097,0.00798,0
0.098,0.007182,0
0.099,0.125364,1.189
0.1,0.112828,0
0.101,0.101545,0
0.102,0.09139,0
0.103,0.082251,0
0.104,0.074026,0
0.105,0.066624,0
0.106,0.059961,0
0.107,0.053965,0
0.108,0.048569,0
0.109,0.043712,0
0.11,0.039341,0
0.111,0.037607,0.022
0.112,0.033846,0
0.113,0.030461,0
0.114,0.027415,0
0.115,0.024674,0
0.116,0.022206,0
0.117,0.019986,0
0.118,0.017987,0
0.119,0.016188,0
0.12,0.01457,0
0.121,0.013113,0
0.122,0.092701,0.809
0.123,0.083431,0
0.124,0.075088,0
0.125,0.067579,0
0.126,0.060821,0
0.127,0.054739,0
0.128,0.049265,0
0.129,0.044339,0
0.13,0.039905,0
0.131,0.035914,0
0.132,0.032323,0
0.133,0.029091,0
0.134,0.026182,0
0.135,0.023563,0
0.136,0.021207,0
0.137,0.019086,0
0.138,0.017178,0
0.139,0.01546,0
0.14,0.013914,0
0.141,0.012523,0
0.142,0.01127,0
0.143,0.010143,0
0.144,0.009129,0
0.145,0.134416,1.262
0.146,0.120974,0
0.147,0.108877,0
0.148,0.097989,0
0.149,0.08879,0.006
0.15,0.096411,0.165
0.151,0.10317,0.164
0.152,0.110353,0.175
0.153,0.130418,0.311
0.154,0.152676,0.353
0.155,0.171208,0.338
0.156,0.193088,0.39
0.157,0.216779,0.43
0.158,0.235201,0.401
0.159,0.255781,0.441
0.16,0.275703,0.455
0.161,0.294533,0.464
0.162,0.313679,0.486
0.163,0.336511,0.542
0.164,0.36246,0.596
0.165,0.383314,0.571
0.166,0.402583,0.576
0.167,0.422124,0.598
0.168,0.572312,1.924
0.169,0.585381,0.703
0.17,0.605343,0.785
0.171,0.631808,0.87
0.172,0.660428,0.918
0.173,0.685285,0.909
0.174,0.709156,0.924
0.175,0.732641,0.944
0.176,0.757377,0.98
0.177,0.782339,1.007
0.178,0.808505,1.044
0.179,0.837555,1.099
0.18,0.868999,1.152
0.181,0.896099,1.14
0.182,0.923189,1.167
0.183,0.94967,1.188
0.184,0.978603,1.239
0.185,1.009243,1.285
0.186,1.042219,1.339
0.187,1.077797,1.398
0.188,1.107217,1.372
0.189,1.136995,1.405
0.19,1.167996,1.447
0.191,1.298896,2.477
0.192,1.318207,1.492
0.193,1.339486,1.531
0.194,1.362737,1.572
0.195,1.387564,1.611
0.196,1.411207,1.624
0.197,1.434287,1.642
0.198,1.456958,1.661
0.199,1.479762,1.685
0.2,1.503886,1.721
0.201,1.529297,1.758
0.202,1.557768,1.814
0.203,1.583591,1.816
0.204,1.609132,1.839
0.205,1.636419,1.882
0.206,1.664777,1.92
0.207,1.694899,1.966
0.208,1.724509,1.991
0.209,1.755658,2.036
0.21,1.789492,2.094
0.211,1.819543,2.09
0.212,1.849889,2.123
0.213,1.8802,2.153
0.214,2.01408,3.219
0.215,2.034972,2.223
0.216,2.057975,2.265
0.217,2.084377,2.322
0.218,2.11584,2.399
0.219,2.141756,2.375
0.22,2.16678,2.392
0.221,2.191202,2.411
0.222,2.215282,2.432
0.223,2.238854,2.451
0.224,2.262168,2.472
0.225,2.287851,2.519
0.226,2.313966,2.549
0.227,2.33607,2.535
0.228,2.358963,2.565
0.229,2.383366,2.603
0.23,2.40723,2.622
0.231,2.430407,2.639
0.232,2.454466,2.671
